Location,Burrito,Neighborhood,Chips,Cost,Hunger,Mass (g),Density (g/mL),Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Unreliable,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Lolita's Taco shop,Bean and cheese,Kearny Mesa,,3.5,1,,,3.5,4.5,,3,,4,3,2.5,4,2.7,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,Adobado,Kearny Mesa,,5.5,2.5,,,1.5,2.5,3.5,3,4,1.5,2.5,3.5,4.5,3.5,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro's Tacos,California Burrito,Miramar,,6.5,5,,,3,,4,5,4,4,,5,5,5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,619 Burrito Original,Miramar,x,11.75,4,,,3,,4,5,4,4,5,4,3,4,x,x,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Kotija Jr.,Fish,Miramar,,6.5,4,,,3,,4,4,5,4,4,5,4,5,x,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,
La Perla Cocina,California,Miramar,,6.5,5,,,4,,4,4,5,4,4,4,5,4,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,Miramar,,8,4,,,3,,2,3,2,3,2,3,2,2,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,Miramar,,8,3,,,3,,1,2,2,2,2,2,1,2,x,,,,x,,x,,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,
Chipotle,Custom,Miramar,,7,3.5,,,3,,5,3,3,4,4,4,4,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Al pastor,Miramar,,,4,,,5,,5,5,5,4,5,5,5,4.8,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
